chapter,number,stem,option_a,option_b,option_c,option_d,option_e,answer
第1-2章 细胞的损伤、适应与修复,1,外科病理学应用最广泛的病理学研究方法是,尸体剖验,细胞培养和组织培养,动物实验,电镜,活检,C
第1-2章 细胞的损伤、适应与修复,2,易发生干性坏疽的器官是：,肺,阑尾,膀胱,四肢,子宫,E
第1-2章 细胞的损伤、适应与修复,3,脱落细胞学可用来检查,痰液,尿液,胸腔积液,乳房穿刺物,以上均可,C
第1-2章 细胞的损伤、适应与修复,4,细胞水肿和脂变常发生在,肺、脾、肾,心、脾、肺,心、肝、肠,肝、肾、脾,心、肝、肾,B
第1-2章 细胞的损伤、适应与修复,5,病理学被视为桥梁学科的原因是,与基础医学关系密切,与临床医学关系密切,能为临床医学的学习打下坚实的基础,能指导临床的治疗,与A、B、C有关,D
第1-2章 细胞的损伤、适应与修复,6,下列哪种组织再生能力最强：,腺体,骨骼肌,神经细胞,软骨,平滑肌,C
第1-2章 细胞的损伤、适应与修复,7,下列哪种不是病理学的研究范畴,病因学,发病机制,疾病的治疗,病理变化,患病机体的功能、代谢变化,D
第1-2章 细胞的损伤、适应与修复,8,关于动物实验，下列描述中哪项是错误的,在适宜的动物身上可以复制某种疾病,动物实验的结果可以直接应用于人体,可以了解疾病的病理发展过程,可在一定程度上了解药物或其他因素,可利用动物研究疾病的病因、发病机,E
第1-2章 细胞的损伤、适应与修复,9,“静脉石”的形成是静脉内的血栓发生了,机化,钙化,包裹,脱落,吸收,D
第1-2章 细胞的损伤、适应与修复,10,下列哪种色素与细胞萎缩有关,胆色素,疟色素,脂褐素,黑色素,含铁血黄素,C
第1-2章 细胞的损伤、适应与修复,11,不属于细胞、组织的适应性变化的病变是,萎缩,发育不全,肥大,增生,化生,E
第1-2章 细胞的损伤、适应与修复,12,缺碘所致的甲状腺肿大属于：,过再生性增生,再生性增生,甲状腺肥大,内分泌障碍性增生,甲状腺增生合并肥大,B
第1-2章 细胞的损伤、适应与修复,13,组织发生坏死时，间质发生变化的情况应该是,和实质细胞同时发生,较实质细胞出现更早,一般不发生改变,在实质细胞病变之后发生,只发生轻度变化,B
第1-2章 细胞的损伤、适应与修复,14,“肥大”是指：,实质细胞数目增多,实质细胞体积增大,组织、器官体积的增大,是细胞、组织、器官体积的增大,间质增生,B
第1-2章 细胞的损伤、适应与修复,15,在坏死组织发生分离排出的过程中，下列哪项描述的内容不够合适,有溶解现象出现,有炎性过程参与,可产生空洞,不会形成包裹,一定会形成溃疡,E
第1-2章 细胞的损伤、适应与修复,16,结核球的形成是干酪样坏死物被,机化,钙化,包裹,排出,吸收,B
第1-2章 细胞的损伤、适应与修复,17,一般来说，当坏死灶较大不能溶解吸收或完全机化时，下列哪一项叙述较合适,一定形成空洞,最易分离排除,不会形成溃疡,大多产生包裹,长期不发生变化,A
第1-2章 细胞的损伤、适应与修复,18,在组织学上看到有细胞核固缩、碎裂、溶解时．说明：,细胞正开始死亡,细胞的功能还有可能恢复,细胞的功能虽然可能恢复. 但已极为,细胞已经死亡了一段时间,细胞浆可能还没有发生改变,E
第1-2章 细胞的损伤、适应与修复,19,肉芽组织是由……组成：,吞噬细胞和成纤维细胞,新生毛细血管和成纤维细胞,新生毛细血管和单核细胞,单核细胞、巨细胞和淋巴细胞形成的,以上都不是,C
第1-2章 细胞的损伤、适应与修复,20,急性胃炎时，表浅胃黏膜坏死脱落可形成,糜烂,窦道,瘘管,空洞,溃疡,A
第1-2章 细胞的损伤、适应与修复,21,坏死对机体的影响与下列哪项无关,坏死细胞的生理重要性,坏死细胞的数量,坏死细胞所在器官的再生能力,发生坏死器官的贮备代偿能力,坏死灶有无形成脓肿,A
第1-2章 细胞的损伤、适应与修复,22,下述哪项不是心脏萎缩的肉眼特点,体积小,呈褐色,心肌质地硬韧,心脏表面血管弯曲,心脏表面血管增粗,C
第1-2章 细胞的损伤、适应与修复,23,下列哪项不属于萎缩,老年女性的子宫,老年男性的睾丸,青春期以后的胸腺,呆小症,脊髓灰质炎患儿的下肢瘦小,D
第1-2章 细胞的损伤、适应与修复,24,脑萎缩的大体特征是,脑沟加深，脑回变窄,脑沟加深，脑回增宽,脑沟变窄，脑回增宽,脑沟变窄，脑回变窄,脑沟变浅，脑回变窄,E
第1-2章 细胞的损伤、适应与修复,25,老年人产生萎缩的器官主要是(),心、肾,脑、心,肝、肺,心、肺,肾、脑,A
第1-2章 细胞的损伤、适应与修复,26,下列哪种情况常可引起脑萎缩,脑动脉粥样硬化,脑膜炎,脑脓肿,脑梗死,颅内压升高,B
第1-2章 细胞的损伤、适应与修复,27,含铁血黄素是在下列哪种细胞内形成的,多核巨细胞,单核巨噬细胞,嗜酸粒细胞,中性粒细胞,红细胞,C
第1-2章 细胞的损伤、适应与修复,28,确诊淀粉样变常用的染色法是,刚果红染色,苏丹Ⅲ染色,普鲁士蓝染色,PAS 染色,HE 染色,E
第1-2章 细胞的损伤、适应与修复,29,一种成熟的组织变成另一种成熟组织的过程称为：,机化,钙化,分化,化生,适应,C
